Offset;Input Attributes: Layout 3 (Per vertex).POSITION0[0];Input Attributes: Layout 3 (Per vertex).POSITION0[1];Input Attributes: Layout 3 (Per vertex).POSITION0[2];Input Attributes: Layout 3 (Per vertex).NORMAL0[0];Input Attributes: Layout 3 (Per vertex).NORMAL0[1];Input Attributes: Layout 3 (Per vertex).NORMAL0[2];Input Attributes: Layout 3 (Per vertex).TANGENT0[0];Input Attributes: Layout 3 (Per vertex).TANGENT0[1];Input Attributes: Layout 3 (Per vertex).TANGENT0[2];Input Attributes: Layout 3 (Per vertex).TANGENT0[3]
4920;-0.5540502;0.0786241;-0.004328292;0.3447983;-0.9202603;0.1822382;-0.1747901;-0.2540481;-0.9510997;-1
4960;-0.5567626;0.07874863;-0.002164055;-0.2548195;-0.9633968;0.08159916;-0.2356546;-0.0199707;-0.9715914;-1
5000;-0.5566865;0.07853191;-0.004340729;-0.2602053;-0.9500566;0.1716805;-0.2503655;-0.1052943;-0.9623855;-1
5040;-0.5567511;0.07881123;1.338171e-05;-0.2751822;-0.9612596;-0.001050326;-0.1899232;0.05543005;-0.9801987;-1
5080;-0.5582607;0.07973891;3.88542e-06;-0.4665598;-0.8842544;-0.0008874653;-0.146744;0.07845449;-0.9860233;-1
5120;-0.5583419;0.07954618;-0.002140182;-0.4239615;-0.9009002;0.0903604;-0.1913283;-0.008404149;-0.9814366;-1
5160;-0.5584424;0.07924646;-0.004381497;-0.3706667;-0.9113368;0.1779509;-0.19007;-0.1131021;-0.9751892;-1
5200;-0.5586097;0.07877822;-0.006864395;-0.4012835;-0.8774464;0.2618137;-0.1831274;-0.2031525;-0.9617865;-1
5240;-0.5539522;0.07818796;-0.005991589;0.3046363;-0.9014049;0.3060883;-0.1941642;-0.3736181;-0.9068334;-1
5280;-0.5527817;0.07873537;-0.006127908;0.6333214;-0.7150149;0.2960489;-0.1129329;-0.4638486;-0.8786776;-1
5320;-0.5552493;0.07835843;-0.004382859;0.08432183;-0.983343;0.1609543;-0.2676368;-0.1779591;-0.9469209;-1
5360;-0.5552333;0.07798231;-0.005935973;0.08402555;-0.9545269;0.2843291;-0.3062778;-0.2963763;-0.9043648;-1
5400;-0.5565988;0.07776201;-0.007151644;-0.3319877;-0.8974519;0.2900885;-0.2566853;-0.2099633;-0.9433139;-1
5440;-0.5588048;0.0780779;-0.009648675;-0.4697721;-0.8057317;0.3597758;-0.1885398;-0.3064351;-0.9328541;-1
5480;-0.5537851;0.0776277;-0.007613098;0.2731025;-0.8816578;0.3839439;-0.2122853;-0.4446221;-0.8700129;-1
5520;-0.5526541;0.07808962;-0.007822371;0.6091719;-0.709629;0.3539843;-0.1323155;-0.531058;-0.8369001;-1
5560;-0.5551324;0.077474;-0.007464506;0.08142884;-0.9239417;0.3718097;-0.2876863;-0.3790596;-0.879118;-1
5600;-0.5565743;0.07653876;-0.009835992;-0.3912377;-0.8284039;0.4003285;-0.2702318;-0.3123888;-0.9104899;-1
5640;-0.5590291;0.07673728;-0.01264942;-0.4957739;-0.7300783;0.4695533;-0.1908598;-0.4357286;-0.8792849;-1
5680;-0.5549611;0.0768571;-0.00890749;0.06043067;-0.8986855;0.4326095;-0.3140884;-0.428541;-0.8466926;-1
5720;-0.5535902;0.07699302;-0.009040851;0.2597718;-0.8539861;0.4497299;-0.2201632;-0.5059424;-0.8337094;-1
5760;-0.5525308;0.07744411;-0.009215495;0.5915291;-0.6968966;0.4054523;-0.1528784;-0.5906828;-0.7922298;-1
5800;-0.5548018;0.07612556;-0.01030952;0.06314908;-0.8638312;0.4987147;-0.3210923;-0.4907134;-0.8096029;-1
5840;-0.5534918;0.07621835;-0.01051567;0.2513384;-0.8313099;0.4956309;-0.2507983;-0.5505129;-0.7961736;-1
5880;-0.5524144;0.07662041;-0.01068239;0.5763099;-0.6935937;0.4321565;-0.2015273;-0.6330893;-0.74733;-1
5920;-0.5546632;0.07530369;-0.01163654;0.02784685;-0.8481514;0.5288416;-0.34695;-0.5043552;-0.7905986;-1
5960;-0.5534739;0.07541426;-0.0117648;0.2647935;-0.8172684;0.5116763;-0.2784149;-0.572832;-0.7708244;-1
6000;-0.5523877;0.07580779;-0.0120357;0.5591925;-0.709144;0.429414;-0.2404894;-0.634461;-0.7345734;-1
6040;-0.5566722;0.07489684;-0.01265916;-0.4060325;-0.7576964;0.5101955;-0.3002574;-0.4166662;-0.8575724;-1
6080;-0.5569647;0.07325855;-0.01488925;-0.350972;-0.6735055;0.6497704;-0.3166873;-0.5676721;-0.7591698;-1
6120;-0.5593947;0.07489337;-0.01532452;-0.4711595;-0.6333911;0.6132408;-0.1570183;-0.6239316;-0.7650762;-1
6160;-0.5600536;0.07274611;-0.01737689;-0.4156479;-0.5538073;0.7207623;0.002435856;-0.7932369;-0.6080762;-1
6200;-0.5534614;0.0746242;-0.01302019;0.30845;-0.8069663;0.5032618;-0.3326082;-0.5872736;-0.7376269;-1
6240;-0.5524872;0.07516401;-0.01313096;0.5461913;-0.7306497;0.4096424;-0.2987062;-0.6267815;-0.7196495;-1
6280;-0.5526217;0.0745824;-0.01400689;0.5549197;-0.7286613;0.4010661;-0.3801053;-0.651063;-0.6568466;-1
6320;-0.5546497;0.07446584;-0.01284371;0.05669959;-0.8190417;0.5695451;-0.371215;-0.5468269;-0.7496686;-1
6360;-0.5546812;0.07359734;-0.01399847;0.0412444;-0.8039176;0.5926463;-0.4257216;-0.5510026;-0.7171475;-1
6400;-0.5535773;0.07397972;-0.01397019;0.3496619;-0.7849154;0.5107651;-0.4268624;-0.6190783;-0.6587247;-1
6440;-0.5527583;0.07409644;-0.01473762;0.5939233;-0.7195992;0.3581994;-0.4052437;-0.6529044;-0.6393916;-1
6480;-0.553772;0.07334776;-0.01479445;0.4350271;-0.7496238;0.4976798;-0.4657497;-0.6609403;-0.5878206;-1
6520;-0.5530394;0.07348979;-0.01578437;0.6018245;-0.6654395;0.4409982;-0.4903812;-0.7440435;-0.4534527;-1
6560;-0.5547808;0.07282057;-0.0149935;0.01871452;-0.7222524;0.6901174;-0.4728605;-0.6146141;-0.6299928;-1
6600;-0.5541399;0.07242708;-0.015835;0.3558196;-0.6224449;0.6956767;-0.3211954;-0.7808146;-0.5342355;-1
6640;-0.5530404;0.07311274;-0.01621089;0.04807276;-0.3346823;0.9406496;-0.3977087;-0.8701841;-0.2889959;-1
6680;-0.5549142;0.07138826;-0.01644821;-0.09913217;-0.5786934;0.8083354;-0.09339637;-0.8028505;-0.5868003;-1
6720;-0.5534475;0.07204629;-0.01644729;-0.1215775;-0.3424391;0.9313761;-0.2506257;-0.8974046;-0.3624493;-1
6760;-0.5574872;0.07174869;-0.01644953;-0.2989105;-0.618035;0.7263622;0.0329198;-0.7675505;-0.6392151;-1
6800;-0.557221;0.06947669;-0.01826846;-0.2321561;-0.5226752;0.8196275;-0.03081908;-0.8383992;-0.5431921;-1
6840;-0.5584149;0.07058185;-0.01798087;-0.269191;-0.5212994;0.8091778;-0.0718044;-0.8270846;-0.5565727;-1
6880;-0.5606124;0.07027164;-0.01891075;-0.2715621;-0.4626036;0.8431492;-0.1242669;-0.8516335;-0.5076904;-1
6920;-0.5614798;0.0671308;-0.0208865;-0.2474523;-0.5123395;0.8218286;-0.05448598;-0.8395464;-0.5397194;-1
6960;-0.5573992;0.06548353;-0.02106444;-0.2476134;-0.5669361;0.7856362;0.01408029;-0.8129094;-0.582181;-1
7000;-0.5539531;0.07057416;-0.01693549;-0.2265428;-0.4118584;0.8824493;-0.1977339;-0.8677199;-0.4557018;-1
7040;-0.5551004;0.06804982;-0.0184369;-0.2413757;-0.5178543;0.8200513;-0.0486436;-0.8376048;-0.5431383;-1
7080;-0.5538078;0.06454837;-0.0207925;-0.2854689;-0.5783312;0.763775;0.08537307;-0.8091033;-0.5808188;-1
7120;-0.5523994;0.07247557;-0.01590358;-0.6132238;-0.3173445;0.7233358;-0.2192082;-0.8113986;-0.5418094;-1
7160;-0.552479;0.07345155;-0.01575884;-0.8306077;-0.1227966;0.5431501;-0.2094913;-0.834823;-0.5091016;-1
7200;-0.5528899;0.06735675;-0.01813539;-0.3040917;-0.5218496;0.7966266;-0.04801326;-0.8268121;-0.5599292;-1
7240;-0.5518878;0.07039337;-0.01640841;-0.4327409;-0.400778;0.8074591;-0.275196;-0.7942274;-0.5416589;-1
7280;-0.5507193;0.06747587;-0.01729488;-0.3088112;-0.5270095;0.7916951;-0.06983668;-0.8176115;-0.5714566;-1
7320;-0.5500338;0.06351124;-0.0198964;-0.3077936;-0.5669118;0.7640996;0.03657675;-0.8095475;-0.585908;-1
7360;-0.54936;0.06611533;-0.017989;-0.1823654;-0.589116;0.7871523;0.04474095;-0.8046553;-0.5919449;-1
7400;-0.5485619;0.06907272;-0.01531692;-0.3443457;-0.6110535;0.7119429;-0.02892193;-0.7505636;-0.6593333;-1
7440;-0.5516171;0.07342231;-0.01425759;-0.7367115;-0.4055494;0.5400148;0.01292716;-0.8067264;-0.5899245;-1
7480;-0.5520982;0.07426471;-0.01449054;-0.9236709;-0.1864576;0.3332638;-0.0100371;-0.8593368;-0.5103952;-1
